source,target,value
Donor Supports,No vote on bill,2000
Joseph P. Kennedy III,Donor Supports,2000
American Bankers Assn,Joseph P. Kennedy III,2000
Donor Supports,Yes vote on bill,10000
Pat Tiberi,Donor Supports,10000
American Bankers Assn,Pat Tiberi,10000
Donor Supports,No vote on bill,3000
Suzan K. DelBene,Donor Supports,3000
American Bankers Assn,Suzan K. DelBene,3000
Donor Opposes,Yes vote on bill,7500
John K. Delaney,Donor Opposes,7500
Deloitte Llp,John K. Delaney,7500
Donor Opposes,Yes vote on bill,10000
Jim Himes,Donor Opposes,10000
Deloitte Llp,Jim Himes,10000
Donor Opposes,Yes vote on bill,10000
Ann Wagner,Donor Opposes,10000
Deloitte Llp,Ann Wagner,10000
Donor Opposes,Yes vote on bill,7500
Peter J. Roskam,Donor Opposes,7500
Deloitte Llp,Peter J. Roskam,7500
Donor Opposes,Yes vote on bill,10000
Patrick Murphy,Donor Opposes,10000
Deloitte Llp,Patrick Murphy,10000
Donor Opposes,Yes vote on bill,10000
Barbara Comstock,Donor Opposes,10000
Deloitte Llp,Barbara Comstock,10000
Donor Opposes,No vote on bill,10000
Suzan K. DelBene,Donor Opposes,10000
Deloitte Llp,Suzan K. DelBene,10000
Donor Opposes,No vote on bill,10000
Steny H. Hoyer,Donor Opposes,10000
Deloitte Llp,Steny H. Hoyer,10000
Donor Opposes,Yes vote on bill,10000
Erik Paulsen,Donor Opposes,10000
Deloitte Llp,Erik Paulsen,10000
Donor Opposes,Yes vote on bill,10000
Kevin McCarthy,Donor Opposes,10000
Deloitte Llp,Kevin McCarthy,10000
Donor Opposes,Yes vote on bill,10000
Steve Stivers,Donor Opposes,10000
Deloitte Llp,Steve Stivers,10000
Donor Opposes,Yes vote on bill,10000
Paul Ryan,Donor Opposes,10000
Deloitte Llp,Paul Ryan,10000
Donor Opposes,Yes vote on bill,10000
Mike Coffman,Donor Opposes,10000
Deloitte Llp,Mike Coffman,10000
Donor Opposes,No vote on bill,9000
Joe Crowley,Donor Opposes,9000
Deloitte Llp,Joe Crowley,9000
Donor Opposes,Yes vote on bill,13000
Jeb Hensarling,Donor Opposes,13000
Deloitte Llp,Jeb Hensarling,13000
Donor Opposes,no vote,10000
John A. Boehner,Donor Opposes,10000
Deloitte Llp,John A. Boehner,10000
Donor Opposes,No vote on bill,3000
Joseph P. Kennedy III,Donor Opposes,3000
Deloitte Llp,Joseph P. Kennedy III,3000
Donor Opposes,Yes vote on bill,10000
Pat Tiberi,Donor Opposes,10000
Deloitte Llp,Pat Tiberi,10000
Donor Opposes,Yes vote on bill,12000
Ed Royce,Donor Opposes,12000
Deloitte Llp,Ed Royce,12000
Donor Supports,Yes vote on bill,1000
John K. Delaney,Donor Supports,1000
Wells Fargo,John K. Delaney,1000
Donor Supports,Yes vote on bill,9500
Jim Himes,Donor Supports,9500
Wells Fargo,Jim Himes,9500
Donor Supports,Yes vote on bill,2500
Ann Wagner,Donor Supports,2500
Wells Fargo,Ann Wagner,2500
Donor Supports,Yes vote on bill,4800
Patrick Murphy,Donor Supports,4800
Wells Fargo,Patrick Murphy,4800
Donor Supports,No vote on bill,10000
Steny H. Hoyer,Donor Supports,10000
Wells Fargo,Steny H. Hoyer,10000
Donor Supports,Yes vote on bill,5000
Peter J. Roskam,Donor Supports,5000
Wells Fargo,Peter J. Roskam,5000
Donor Supports,Yes vote on bill,22700
Erik Paulsen,Donor Supports,22700
Wells Fargo,Erik Paulsen,22700
Donor Supports,Yes vote on bill,35550
Kevin McCarthy,Donor Supports,35550
Wells Fargo,Kevin McCarthy,35550
Donor Supports,Yes vote on bill,12500
Paul Ryan,Donor Supports,12500
Wells Fargo,Paul Ryan,12500
Donor Supports,Yes vote on bill,4250
Mike Coffman,Donor Supports,4250
Wells Fargo,Mike Coffman,4250
Donor Supports,No vote on bill,20000
Joe Crowley,Donor Supports,20000
Wells Fargo,Joe Crowley,20000
Donor Supports,Yes vote on bill,10000
Jeb Hensarling,Donor Supports,10000
Wells Fargo,Jeb Hensarling,10000
Donor Supports,Yes vote on bill,5000
Steve Stivers,Donor Supports,5000
Wells Fargo,Steve Stivers,5000
Donor Supports,no vote,31601
John A. Boehner,Donor Supports,31601
Wells Fargo,John A. Boehner,31601
Donor Supports,Yes vote on bill,3800
Pat Tiberi,Donor Supports,3800
Wells Fargo,Pat Tiberi,3800
Donor Supports,Yes vote on bill,10000
Ed Royce,Donor Supports,10000
Wells Fargo,Ed Royce,10000
Donor Opposes,No vote on bill,5000
Steny H. Hoyer,Donor Opposes,5000
Accenture,Steny H. Hoyer,5000
Donor Opposes,Yes vote on bill,10000
Peter J. Roskam,Donor Opposes,10000
Accenture,Peter J. Roskam,10000
Donor Opposes,Yes vote on bill,4000
Erik Paulsen,Donor Opposes,4000
Accenture,Erik Paulsen,4000
Donor Opposes,Yes vote on bill,11000
Kevin McCarthy,Donor Opposes,11000
Accenture,Kevin McCarthy,11000
Donor Opposes,Yes vote on bill,3500
Paul Ryan,Donor Opposes,3500
Accenture,Paul Ryan,3500
Donor Opposes,No vote on bill,4000
Joe Crowley,Donor Opposes,4000
Accenture,Joe Crowley,4000
Donor Opposes,Yes vote on bill,1000
Jeb Hensarling,Donor Opposes,1000
Accenture,Jeb Hensarling,1000
Donor Opposes,no vote,5000
John A. Boehner,Donor Opposes,5000
Accenture,John A. Boehner,5000
Donor Opposes,Yes vote on bill,4500
John K. Delaney,Donor Opposes,4500
Kpmg Llp,John K. Delaney,4500
Donor Opposes,Yes vote on bill,10000
Jim Himes,Donor Opposes,10000
Kpmg Llp,Jim Himes,10000
Donor Opposes,Yes vote on bill,8000
Ann Wagner,Donor Opposes,8000
Kpmg Llp,Ann Wagner,8000
Donor Opposes,Yes vote on bill,10000
Jeb Hensarling,Donor Opposes,10000
Kpmg Llp,Jeb Hensarling,10000
Donor Opposes,Yes vote on bill,10000
Patrick Murphy,Donor Opposes,10000
Kpmg Llp,Patrick Murphy,10000
Donor Opposes,Yes vote on bill,10000
Kevin McCarthy,Donor Opposes,10000
Kpmg Llp,Kevin McCarthy,10000
Donor Opposes,No vote on bill,10000
Steny H. Hoyer,Donor Opposes,10000
Kpmg Llp,Steny H. Hoyer,10000
Donor Opposes,Yes vote on bill,5500
Sean Patrick Maloney,Donor Opposes,5500
Kpmg Llp,Sean Patrick Maloney,5500
Donor Opposes,Yes vote on bill,20000
Peter J. Roskam,Donor Opposes,20000
Kpmg Llp,Peter J. Roskam,20000
Donor Opposes,Yes vote on bill,9000
Erik Paulsen,Donor Opposes,9000
Kpmg Llp,Erik Paulsen,9000
Donor Opposes,Yes vote on bill,10000
Steve Stivers,Donor Opposes,10000
Kpmg Llp,Steve Stivers,10000
Donor Opposes,Yes vote on bill,6000
Paul Ryan,Donor Opposes,6000
Kpmg Llp,Paul Ryan,6000
Donor Opposes,Yes vote on bill,7000
Mike Coffman,Donor Opposes,7000
Kpmg Llp,Mike Coffman,7000
Donor Opposes,No vote on bill,10000
Joe Crowley,Donor Opposes,10000
Kpmg Llp,Joe Crowley,10000
Donor Opposes,no vote,5000
John A. Boehner,Donor Opposes,5000
Kpmg Llp,John A. Boehner,5000
Donor Opposes,Yes vote on bill,1500
Pat Tiberi,Donor Opposes,1500
Kpmg Llp,Pat Tiberi,1500
Donor Opposes,Yes vote on bill,10000
Ed Royce,Donor Opposes,10000
Kpmg Llp,Ed Royce,10000
Donor Supports,Yes vote on bill,6000
Ann Wagner,Donor Supports,6000
National Fedn Of Independent Business,Ann Wagner,6000
Donor Supports,Yes vote on bill,5000
Kevin McCarthy,Donor Supports,5000
National Fedn Of Independent Business,Kevin McCarthy,5000
Donor Supports,Yes vote on bill,5000
Barbara Comstock,Donor Supports,5000
National Fedn Of Independent Business,Barbara Comstock,5000
Donor Supports,Yes vote on bill,4000
Peter J. Roskam,Donor Supports,4000
National Fedn Of Independent Business,Peter J. Roskam,4000
Donor Supports,Yes vote on bill,2000
Erik Paulsen,Donor Supports,2000
National Fedn Of Independent Business,Erik Paulsen,2000
Donor Supports,Yes vote on bill,1000
Steve Stivers,Donor Supports,1000
National Fedn Of Independent Business,Steve Stivers,1000
Donor Supports,Yes vote on bill,3000
Paul Ryan,Donor Supports,3000
National Fedn Of Independent Business,Paul Ryan,3000
Donor Supports,Yes vote on bill,15000
Mike Coffman,Donor Supports,15000
National Fedn Of Independent Business,Mike Coffman,15000
Donor Supports,no vote,20000
John A. Boehner,Donor Supports,20000
National Fedn Of Independent Business,John A. Boehner,20000
Donor Supports,Yes vote on bill,3000
Pat Tiberi,Donor Supports,3000
National Fedn Of Independent Business,Pat Tiberi,3000
