id,dollar
Mt. Morris,900
Visalia,2750
Livonia,2500
Palisades,500
Palos Verdes Peninsu,2000
Shelbyville,4600
Souderton,600
99040,5750
San Leandro,2150
Havre,750
Villa Rica,2000
Larkspur,7100
Evansville,29500
Coral Springs,2500
Poway,2600
Aurora,2250
Macomb,500
Beech Island,1000
PA,7898534
Los Angeles,131850
Greenbelt,3100
Kenner,600
North Miami,2500
Blacksburg,1800
Whitestone,7200
Maplewood,3500
Harleysville,1500
Palm Beach,77500
Suwanee,12000
Grosse Pointe Farms,1000
Santa Fe,6150
Destin,5000
Decorah,2150
Modesto,1750
Centennial,42800
Rio Vista,500
Tacoma,13698
Grosse Ile,500
Santa Clara,3600
Lafayette Hill,1000
Floyds Knobs,5500
54155,21600
Tiffin,400
Johnson City,85000
91006,3000
Dana Point,3500
Brooklyn,78775
Mount Prospect,500
Mansfield,2000
Conroe,5000
Germantown,4500
Islamorada,7100
Bluefield,7750
Wellington,5000
Bethany,2500
Livingston,13700
Gulf Breeze,13650
Aldie,500
Mercer Island,32300
Ennis,800
Guntersville,14400
RI,3000
Martinez,1000
Cincinnati,68100
29161,2000
Bethlehem,57300
Coraopolis,500
Somerville,500
Elk City,2000
South Bay,400
Mcallen,300
Cumming,1400
Rogers,8200
Palatine Bridge,1200
Huntsville,2500
San Ramon,10400
Oxford,1700
Dahlgren,4000
55353,1000
Tipton,250
Sun River,38466
Wauwatosa,1000
Gansevoort,7000
Carmel,15300
Grimes,1750
Houston,1758264
Wallingford,1000
Tempe,42250
Spring,43850
Neenah,3100
Pierre,5000
Cabin John,1000
Kihei,15400
Madisonville,3250
Tecumseh,32150
North Vernon,1000
Hayden,1000
Brookhaven,1000
Bloomington,9900
Wolfforth,20275
Milford,8500
Bellevue,20550
Auburndale,600
Shakopee,500
Camillus,750
Heyburn,400
Dearborn,5500
Greenwood,1000
Fiddletown,500
Katy,2300
Collierville,2000
Mt. Pleasant,1350
Burleson,1500
Panhandle,250
Jamaica,600
Lawrenceburg,12300
Fellsmere,500
Durham,1750
Jasper,2000
Alvaton,250
Orono,750
Hermiston,250
Gainesville,8004
Blenheim,250
St Clairsville,800
Cochranville,8000
Meridian,6250
Clemmons,500
Eugene,2400
Rice Lake,3000
Solon,12000
Baker,500
Morrisville,3000
Tarboro,23550
Deer Park,200
Panama City,600
Brownsville,13250
Pennington Gap,1000
Fort Collins,2500
B5100,9600
Brookville,500
Huntington Beach,9900
Saline,2000
Prairie Village,3000
Salina,1000
Newtown Square,21900
Zionsville,13250
Greenville,28300
Woodstock,5000
Jamesville,2000
Seal Beach,2000
Hood River,7400
Orange,6500
Green Cove Springs,800
Lawrence,15800
Fircrest,1000
Lloyd Harbor,1000
Lake Worth,500
Wernersville,2000
Melville,1000
Daphne,7500
Kissimmee,2000
Mahomet,500
Ambler,3750
Green Bay,2811
Detroit,43650
Lake Forest,23883
Okemos,5000
Tell City,3000
Morgan City,27900
Harrisonburg,5000
Sonoma,2500
Greeley,135850
Gettysburg,700
El Macero,1700
Lakeville,250
Stroudsburg,3250
Thornton,1050
Roaring Spring,750
Split,4050
Portage,2000
Rye,27800
Vancouver,16500
Copperas Cove,500
Reisterstown,4000
Geneva,1500
95313,5500
59022,2400
Bartlesville,3400
Berwick,142600
Jacksonville,89080
Milton,1000
Barrington,10800
Wynnewood,800
Signal Mountain,5620
93656,3000
Montverde,2000
Roswell,14650
La Mesa,4250
Texarkana,10100
